"Story","Title","Result","Date","Stability","Duration (s)"
"as a quality analyst","log in to the page","SUCCESS","2022-12-14T14:39:08.811-05:00[America/Bogota]","0.0","18.44"
"as a quality analyst","register user in the page","ERROR","2022-12-15T11:12:01.478-05:00[America/Bogota]","0.0","6.75"
